讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-10-28(Thursday)16:40-18:00,Zhi Wang,"                                            Dr. Zhi Wang is an associate professor (with tenure) in the School of Economics at Fudan University. She received her PhD in Economics from Brown University in 2013. Her research focuses on the applications of microeconomics in the field of Urban Economics. Her research projects investigate: the relationship between the location of labor-force entry and wage growth; the determinants and effects of the spatial pattern of urban land development; the effects and implementation of land use regulations; the effects of environmental regulations; the effects of school boundaries in urban China; the determinants of the spatial distribution of college admissions in China; the spatial structure of peer groups; and China&rsquo;s industrial land market. Her papers have been published at Review of Economics and Statistics, Journal of Urban Economics, Journal of Environmental Economics and Management, and Journal of Housing Economics. She is the Associate Editor of Regional Science and Urban Economics.",Industrial Land Allocation in China: Evidence from the 2007 Auction Ref...,The Seminar will be held online,"                                                                Land allocation plays an essential role in China&rsquo;s industrial development. In the past, most industrial land was transacted through negotiations that usually lacked transparency and competition. Since 2007, the central government has imposed public auction for transactions of industrial land. This paper investigates whether the 2007 auction reform has improved industrial land allocation efficiency by focusing on the allocation of local land to different industries. We develop a theoretical framework to understand the land allocation mechanisms before and after the reform. Utilizing three comprehensive data sets of new industrial establishments, land transactions and nighttime lights, the empirical analysis finds that, in sharp contrast to the pre-reform period, more land was allocated to industries with local comparative advantage during the post-reform period, and this effect is more pronounced in the localities with higher reform stringency levels. It suggests that the reform has promoted the spatial clustering of firms from industries which have close connections to each other and hence facilitated the formation of a more efficient local industrial composition. It also finds suggestive evidence that the reform has a positive effect on local output, consistent with the theory."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-10-27(Wednesday)16:40-18:00,林路,"                                            山东大学中泰证券金融研究院教授、博士生导师。教育部应用统计专业硕士教育指导委员会成员，山东省政府参事。从事大数据、高维统计、非参数和半参数统计以及金融统计等方的研究，在国际统计学、机器学习和相关应用学科顶级期刊(包括Annals of Statistics, Journal of Machine Learning Research,&nbsp;中国科学)和其它重要期刊发表研究论文120余篇；多个资政报告得到主管省长的重要批示。主持过多项国家自然科学基金课题、博士点专项基金课题、山东省自然科学基金重点项目等；获得国家统计局颁发的统计科技进步一等和二等奖(排名第一)，山东省优秀教学成果一等奖(排名第一)。",Precision Transfer Learning with Heterogeneous Sources by Correlation R...,线上腾讯会议,"                                                                p class=""MsoNormal"" style=""line-height:21.0pt;mso-line-height-rule:exactly""A basic condition for efficient transfer learning is the similarity between the target model and relevant source models. In practice, however, the similarity condition is difficult to meet or is often violated. In this paper, under the framework of exponential family with heterogeneous source models, the related models are precisely combined by bran-new measures: linear correlation ratios between the target model and source models. Based on this type of combinations, the precision transfer likelihood is constructed by the target likelihood combined with the transferred likelihoods from the source models. Methodologically, some techniques are suggested for transferring the information from simple source models to a relatively complex target model. Theoretically, the asymptotic properties, including the standard convergence rate, are achieved, even for the case where the source models are unrelated to the target model. It can be seen from the theories and numerical results that the inference on the target model is significantly improved by the information from source models, and it is somewhat surprising that phenomenon of Stein's paradox is illustrated."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-10-19(Tuesday)16:40-18:00,Marc Oliver Rieger,"                                            Rieger is Professor of Banking and Finance at the University of Trier, Germany, since 2010, and Director of the Confucius Institute of the University of Trier since 2018. Since 2019, he is core member of the research group &quot;Quantitative Finance and Risk Analysis&quot;, and project leader of the research cluster &quot;Globalization and Re-Nationalization,&quot; both financed by the research initiative of the state of Rheinland-Pfalz. Rieger studied mathematics at University of Konstanz from 1993 to 1998, and obtained a PhD at Max Planck Institute for Mathematics in the Sciences, Leipzig, in 2001, under the supervision of Prof. Stefan M&uuml;ller. He worked as research scholar and postdoc at Carnegie Mellon University, Scuola Normale Superiore, University of Z&uuml;rich and ETH Z&uuml;rich.",Sign Matters: Stock-Movement-Based Trading Decisions of Individual Inve...,The seminar will be held online,"                                                                p class=""MsoNormal""This paper studies the relation between the signs of recent returns (an up-down pattern) and the net trading of individual investors. For our comprehensive dataset from the Taiwan Stock Exchange, we find that following positive days, individual investors sell more stocks than they buy &ndash; a negative buy-sell imbalance &ndash; while following negative days, their imbalance is positive. More recent signs have stronger impacts on imbalance. The subsequent performance of this trading behavior is poor, indicating individual investors in Taiwan make suboptimal decisions, and their trade is unlikely to be information-based. Thus, the liquidity provision explanation in the literature is not applicable to our sample, and our results suggest behavioral reasons. We illustrate with a simple theoretical model that overconfidence can offer a potential explanation."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-10-15(Friday)09:00-11:00,Yiyuan She,"                                            Dr. Yiyuan She obtained his PhD from Stanford University in 2008. He is currently a professor in the Statistics Department at Florida State University. Dr. She is a fellow of ASA, a fellow of IMS and an elected member of ISI. His research interests include high dimensional statistics, machine learning, optimization, robust statistics and others. Dr. She is currently an associate editor of&nbsp;Statistica Sinica, JASA, and&nbsp;IEEE Transactions on Network Science and Technology.",Supervised Multivariate Learning with Simultaneous Feature Auto-groupin...,zoom线上会议,"                                                                span style=""font-family: &quot;Times New Roman&quot;;""span style=""color: rgb(12, 12, 12); font-size: 15px; text-align: justify;""Modern high-dimensional methods often adopt the &quot;bet on sparsity&quot; principle, while in supervised multivariate learning statisticians may face &quot;dense&quot; problems with a large number of nonzero coefficients. This paper proposes a novel clustered reduced-rank learning (CRL) framework&nbsp;that imposes two joint matrix regularizations to automatically group the features in constructing predictive factors. CRL&nbsp;is more interpretable than&nbsp;low-rank modeling and relaxes&nbsp;the stringent sparsity&nbsp;assumption in variable selection.&nbsp; In this paper, new&nbsp;information-theoretical limits are presented to&nbsp;reveal the intrinsic cost of seeking for clusters, as well as&nbsp;the blessing from dimensionality in multivariate learning. Moreover, an efficient optimization&nbsp;algorithm is developed, which&nbsp;performs subspace learning and clustering&nbsp;with guaranteed convergence. The obtained&nbsp;fixed-point estimators,&nbsp;though not necessarily globally optimal, enjoy the desired statistical accuracy beyond the standard likelihood setup under some regularity conditions.&nbsp; Moreover, a new kind of information criterion, as well as its scale-free form, is proposed&nbsp;for&nbsp;cluster and rank&nbsp; &nbsp;selection,&nbsp;and has a rigorous theoretical support&nbsp;without assuming an infinite sample size.&nbsp;Extensive simulations and real-data experiments demonstrate the statistical accuracy and interpretability&nbsp;of the proposed method./span/span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-10-14(Thursday)16:40-18:00,Rongsheng Tang,"                                            Professor Rongsheng Tang is an assistant professor at Shanghai University of Finance and Economics. His major fields of concentration are Growth and Development, Macroeconomics and Chinese Economy. He obtained his Ph.D. in economics from Washington University in St. Louis in 2017.",Market Formation in China from 1978,Tencent Meeting,"                                                                p class=""MsoNormal"" align=""justify"" style=""text-align:justify;text-justify:inter-ideograph;""This paper studies the formation of market economy in China from 1978 to 1992, a period in which market economy was introduced and developed alongside planned government procurement for agricultural goods. Under the &ldquo;dual track system&rdquo; (DTS), rural farmers were obligated to fulfill government procurement before selling to the market, whereas urban consumers enjoyed de facto subsidies to agricultural products. Using a neoclassical general equilibrium model with heterogeneous firms and workers and input-output linkage, this paper exploits historical data and analyzes allocation, prices, and the formation of markets in China during this DTS period. Theoretically, while DTS will distort the resources allocation between rural and urban (misallocation effect), it selects workers and farmers in the rural (selection effect). What is more, comparing to the economy under Soviet-style big bang reform, DTS activates industrialization by providing intermediate goods with lower-than-market price (activation effect). Quantitatively, directly switching to market economy in 1978 would decrease total output by 4.5% as the activation effect dominates. On the intensive margin, reform on DTS ( procurement price was getting closer to market price ) had contributed to total output by 4.4% from 1978 to 1992."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-10-13(Wednesday)16:40-18:00,Oliver Linton,"                                            Oliver Linton is a Professor of Political Economy and Econometrics at Cambridge University and a Fellow of Trinity College. He has served as an Associate Editor with Econometrica, a co-editor at Journal of Econometrics, Econometric Theory, and a joint editor of Royal Economic Society (RES) Econometrics Journal. Linton is a Fellow of the British Academy, a Fellow of the Econometric Society, and a Fellow of the Institute of Mathematical Statistics. His research contribution has mostly been to do with nonparametric and semiparametric methods. He is also interested in Financial Econometrics.",Testing whether asset prices have Pricing Errors: A ReMeDi approach,Seminar will be held online,"                                                                We introduce a general testing procedure to discriminate two broad classes of econometric models of asset prices. Under the null hypothesis that grounded in no-arbitrage, the asset prices evolve as a semimartingale that exhibits stochastic volatility and jumps; under the alternative, a pricing error that reflects various market frictions is added to the semimartingale part. Using high-frequency data, we derive limit theorems for the proposed testing statistic when the asset price follows a general semimartingale, leading to formal tests for the presence of pricing errors. Our test has power against a broad class of alternative hypotheses where the pricing errors could be endogenous, nonstationary, seasonal and serially correlated. Moreover, the observation times are allowed to be stochastic under both the null and the alternative hypotheses. The testing procedure is uniformly valid under both the infill (with fixed time span) and non-infill, long span asymptotic frameworks. It thus finds broad applications in time series analysis on market microstructure, asset pricing and macroeconomics where the underlying time series has a permanent and a transitory component."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-09-30(Thursday)16:40-18:00,Yu Gao,"                                            Dr. Yu Gao is an Assistant Professor of Guanghua School of Management, Peking University. She obtained her PhD degree from Erasmus University Rotterdam in 2017, majoring in behavioral economics.&nbsp;Dr. Gao is doing research in decision theory, decisions under uncertainty and over time, and applying theoretical insights in behavioral economics to promote better individual decisions in various domains, for example planning for retirement and mitigating climate change. Her research was published on leading journals such as American Economic Review, Journal of Risk and Uncertainty, Experimental Economics, and Environmental Research Letters.",The Misery of Spending Down the Nest Egg: The Effect of Annuitization o...,Seminar will be held online via Tencent Meeting,"                                                                span lang=""EN-US"" style=""text-indent: 36pt; font-family: &quot;Times New Roman&quot;, serif;""Decumulation of assets is a complex problem for individuals. We study the effects of annuitization compared to spending down from a lump-sum on consumption and subjective wellbeing. By exploring the pension reform in the UK as an ideal regression discontinuity design, we find that annuitization increases consumption, self-reported health condition, and life satisfaction for retirees. To further examine the behavioral channel of the annuity effect, we conducted a field experiment on college students, giving them a flow or a lump-sum payment. We find that flow payment increases consumption f/spanspan lang=""EN-US"" style=""text-indent: 36pt; font-family: Times;""or people who feel pain when spending, and restrain consumption for people who have problems restricting their spending./spanspan lang=""EN-US"" style=""text-indent: 36pt; font-family: &quot;Times New Roman&quot;, serif;"" Our results thus provide direct evidence of the effects of annuitization on consumption and wellbeing and call for policies to enhance the annuitization of retirement assets./spanp class=""MsoNormal"" style=""text-indent:36.0pt;line-height:150%""span lang=""EN-US"" style=""font-family:&quot;Times New Roman&quot;,&quot;serif&quot;""o:p/o:p/span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-11(Friday)16:40-18:00,Zhengyang Bao,                                            Zhengyang graduated from Monash University and yet to become a Assistant Professor at Xiamen University. His research interest is applying the experimental methods to study economic and financial interactions.,Experiments in Financial Markets,"Room N302, Economics Building","                                                                We apply the experimental methods to study the gender differences in the financial markets and the effectiveness of financial regulations. We follow 58,345 borrowers from a peer-to-peer lending platform to study how women and men react to enforcement mechanisms differently. In the experiment, borrowers are randomized into treatments where they receive different text messages urging for timely repayment if they have loans due the next day. Compared to a reminder message, the messages inducing social pressures and financial incentives reduce the overdue rate for both genders. However, women are more responsive to messages producing social pressures, while men are more responsive to financial incentives. The results imply the potential importance of a gender-dependent mechanism to enhance compliance."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-10(Thursday)16:40-18:00,Qiaoxi Zhang,                                            Qiaoxi Zhang received her PhD in Economics from Caltech in 2016. She has been working on game theory in Chile from 2016-2020. She will join Xiamen University as an assistant professor in Fall 2021.,Delegation of Costly information Acquisition,"Room N302, Economics Building","                                                                Learning is crucial to effective organizational decision making, but often it has to be delegated. We examine a dynamic delegation problem where a principal needs to decide on a project with uncertain profitability. A biased agent, who is initially as uninformed as the principal, privately learns about the profitability over time and communicates to the principal. We formulate learning delegation as a dynamic mechanism design problem and characterize the optimal delegation scheme. Our results show that private learning gives rise to the tradeoff between how much information to acquire and how promptly the acquired information is reflected in the decision. We discuss implications on learning delegation for distinct organizations."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-10(Thursday)10:10-11:30,Yuta Watabe,                                            Yuta Watabe is a Ph.D candidate at the Pennsylvania State University. He work on quantitative model of trade and multinational production. He will be an assistant professor at SOE and WISE from fall 2021.,Triangulating Multinationals and Trade,"D235, Economics Building","                                                                Multinationals play a dominant, if sometimes contentious, role in the global economy. Quantifying their welfare implication requires not only knowing where firms from different countries locate production, but the destinations of what they produce. Data on bilateral trade and multinational production do not fully identify multinational activities without additional assumptions. I develop a model that allows a complete range of multinational activities, including selling only in the host country (horizontal FDI), selling only in the country of origin (vertical FDI), and selling to third countries (export platform FDI). Using the model and the available data, I bound outcomes from various counterfactual scenarios without imposing specific assumptions about multinationals. As a theoretical matter I show that, for any country, gains from openness (from both trade and multinational activity) are at a maximum with horizontal FDI and at a minimum with vertical FDI. Empirical results show that a wide range of outcomes are consistent with the data; for example, the welfare gains from openness in Germany range between 4.5% and 14.5%. While the incompleteness of the data leaves open a wide range of outcomes, what data are available still bring clear judgement on policy evaluation, for example, penalizing U.S. multinationals for offshoring never benefits the United States."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-09(Wednesday)16:40-18:00,Lester Chan,"                                            Lester Chan obtained his Ph.D. in Economics from Boston University in 2021. His fields of research are microeconomic theory and industrial organization, with a special interest in potential games, contract theory, and platforms. His current research focuses on overcoming the challenge of multiple equilibria in various principal(s)-agents problems. He will join Xiamen University as an assistant professor in Fall 2021.",Weight-Ranked Divide-and-Conquer Contracts,"Room N302, Economics Building","                                                                I study a large class of multi-agent contracting models with the property that agents' payoffs constitute a weighted potential game. Multiple equilibria arise due to agents' strategic interactions. I fully characterize a contracting scheme that is optimal to the principal for a large class of equilibrium selection criteria and implementation requirements. This scheme ranks agents in ascending order of their weights in the weighted potential game and induces them to accept their offers in a dominance-solvable way, starting from the first agent. I apply the general results to networks and pure/impure public goods/bads."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-08(Tuesday)16:40-18:00,Han Ye,"                                            Han Ye is a research fellow at the Department of Economics, National University of&nbsp; Singapore (NUS). Her research interests center on health economics, behavioral economics, labor economics, and applied microeconometrics. Her research has been published in Journal of Human Resources, AEA Papers and Proceedings and Management World. She obtained a Ph.D. in Economics at NUS in 2020.She will join Xiamen University as an assistant professor in Fall 2021.",Decision Fatigue in Physicians,"Room N302, Economics Building","                                                                A recognized problem in administering medical care is physicians&rsquo; excessive workload. We explore its behavioral consequences from the perspective of decision fatigue&mdash;the decline in decision quality due to an increased number of patients and treatment decisions. We use administrative data from over 250,000 visits to an emergency department to analyze how decision fatigue affects physician decision-making and patient outcomes. Controlling for various confounding factors, we find that every 10 patients the physician had previously treated during a shift lowered the index patient&rsquo;s inpatient admission probability by 10.6%, reduced the number of task orders by 10.3%, and shortened the length of stay by 15.7%. Subsequently, both patient revisit rates and mortality rates increased, by 3.0% and 13.3%, respectively. Furthermore, we find that the observed consequences of physician decision-making can be alleviated by taking a break and by accumulated medical experience. These findings suggest that decision fatigue erodes the quality of physician decision-making and impairs patient outcomes, which have important implications on the long-standing debate regarding regulations for healthcare professionals and excessive physician workload.&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-08(Tuesday)10:10-11:30,Liyang Hong,"                                            Liyang Hong graduate from the Economics Department at Boston College. His research fields are in Macroeconomics and Public Finance, with a particular interest in intergovernmental fiscal relations and the economic influences.&nbsp;He will join Xiamen University as an assistant professor in Fall 2021.",Fiscal Competition and Federal Shocks,"D235, Economics Building","                                                                This paper studies the effects of federal tax shocks on the economy. Being different from the existence literature, it takes into account the responses of the state-level fiscal policies and the state-state policy interactions in the transmission of the shocks. The results show that including fiscal competition significantly changes the responses of economic variables to a federal shock. This suggests that when the central planner makes decisions, he has to consider the local governments&rsquo; reactions, because it may affect the effectiveness of the policy."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-07(Monday)10:10-11:30,Shuo Jiang,"                                            Shuo Jiang is a Ph.D. candidate at the Department of Economics of University of Washington, expecting to graduate in July and join WISE &amp; SOE in Fall 2021. His research interests are econometrics and empirical industrial organization.",Games of Incomplete Information with Non-separable Unobserved Heterogen...,"D235, Economics Building","                                                                Sequential estimation and inference in static games of incomplete information with non-separable unobserved heterogeneity face two main challenges: the matching-types problem and large state space. We tackle the matching-types problem by constructing a new characterization of the payoff function via a minimum distance model with incorrect moments. Large state space leads to large number of moments, rendering optimization via exhaustive search computationally challenging. We propose a new multi-step estimation procedure and demonstrate via extensive simulation that it is extremely fast to compute. Theoretically our estimator selects the correct matching with probability approaching one and consistently estimates the payoff function. We propose an asymptotically uniformly valid and easy-to-implement test for the linear hypothesis on the payoff function."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-04(Friday)10:10-11:30,Zhuzhu Zhou,"                                            Dr. Zhuzhu Zhou is graduated from Boston College. Her research fields include social choice, behavioral economics, public economics, and econometrics. She will join Xiamen University as an assistant professor in economics in Fall 2021.",Ranking Regret,"D235, Economics Building","                                                                A social planner wants to rank people, e.g., assign airline passengers a boarding order. A natural ranking is to order people from most to least sensitive to their rank. But people's feelings can depend both on their assigned rank, and on the alternatives they might have been assigned. As a result, there may be no best ranking, due to intransitive cycles. This paper shows how to tell when a best ranking exists, and that when it exists, it is indeed the natural ranking. When this best does not exist, an alternative second-best group ranking strategy is proposed, which resembles actual airline boarding policies.&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-03(Thursday)16:40-18:00,Junnan Zhang,"                                            Junnan Zhang is a PhD candidate in economics at the Australian National University. His research interests include: mathematical economics, dynamic programming, and computational economics. He has published in Journal of Economic Theory, Journal of Mathematical Economics, and Jingji Yanjiu (Economic Research Journal). He will join Xiamen University as an assistant professor in economics in Fall 2021.",Dynamic Programming with State-Dependent Discounting,"Room N302, Economics Building",                                                                This paper extends the core results of discrete time infinite horizon dynamic programming to the case of state-dependent discounting. We obtain a condition on the discount factor process under which all of the standard optimality results can be recovered. Our framework is general enough to handle complications such as recursive preferences and unbounded rewards. Economic and financial applications are discussed.&nbsp;The lecture will start with a short introduction to dynamic programming and then discuss more advanced topics covered in the paper.
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-02(Wednesday)10:10-11:30,Yimeng Xie,"                                            Yimeng Xie is a PhD candidate in economics of University of Southern California. His research interests include Econometric Theory, Applied Econometrics, Empirical Finance. He will join Xiamen University as an assistant professor in Fall 2021.",Estimation and Statistical Inference for Short Panel Models with Both I...,"Room D136, Economics Building","                                                                This paper studies short panel threshold model that has cross sectional dependence. We propose the estimator of both coefficients and threshold parameter and also a test of threshold in the model, both of which do not need estimating factors. The asymptotic theory and inference are given and supported by Monte Carlo simulations. We apply our estimator to reexamine how debt level can influence firm's investment ability.&nbsp;"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-06-01(Tuesday)16:40-18:00,Chen Tong,"                                            Chen Tong is a PhD student in the National School of Development, Peking University. His research interests include financial econometrics and financial engineering. He has published research papers in several academic journals including Journal of Futures Markets (twice), International Review of Finance, Economics Letters, Applied Economics, Journal of Financial Research (in Chinese) and China Economic Quarterly (in Chinese). He will join Xiamen University as an assistant professor in Fall 2021.&nbsp;",Option Pricing with State-dependent Pricing Kernel: A Realized GARCH Ap...,"Room N302, Economics Building","                                                                We introduce a new volatility model within the Realized GARCH framework, that permits structural changes in the volatility process. When combined with a novel pricing kernel, our model allows for a state-dependent variance risk premium. We model the time variation in key parameters, using a hidden Markov switching process, and derive the corresponding pricing formula for European options using an analytical approximation method. The proposed framework is easy to estimate and implement, as inferences about regimes are deduced from realized volatility measures. The estimation results indicates that investor shows two distinct attitudes towards volatility-specific risk within different market states. We conduct an extensive empirical application on S&amp;P 500 index options from 1990 to 2019 and find that the newly proposed model outperforms competing methods. Both in-sample and out-of-sample."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-05-31(Monday)16:40-18:00,Yuting Yang,"                                            Yuting Yang is an Assistant Professor of Economics at the University of New Mexico, specializing in environmental and energy economics. At present, her research program is broadly focused on applied theory analysis of policy-related issues, mainly in the context of energy transition towards green and sustainable energy use. Dr.Yang received her B.A. in International Economics from Zhejiang University (China), her M.A. in Economics Development from the Vanderbilt University, and her Ph.D. in Economics from the Toulouse School of Economics (France). She has published in JEEM and received EAERE Best Doctoral Dissertation in Environmental and Resource Economics Award.",Electricity Interconnection with Intermittent Renewables,"Room N302, Economics Building","                                                                Electricity interconnection has been recognized as a way to mitigate carbon emissions by dispatching more efficient electricity production and accommodating the growing share of renewables. I analyze the impact of electricity interconnection in the presence of intermittent renewables, such as wind and solar power, on renewable capacity and carbon emissions using a two-country model. I find that in the first-best, interconnection decreases investments in renewable capacity and exacerbates carbon emissions if the Pigouvian carbon price is low. Conversely, interconnection increases renewable capacity and reduces carbon emissions for a high carbon price. Moreover, the intermittency of renewables generates an insurance gain from interconnection, which also implies that some renewable capacity is optimally curtailed in some states of nature when the carbon price is high. The curtailment rate and the corresponding carbon emissions increase for more positively correlated intermittency. I calibrate the model using data from the European Union electricity market and simulate the outcome of expanding interconnection between Germany-Poland and France-Spain. I find that given the current level of carbon tax, the interconnection may increase carbon emissions."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-05-31(Monday)16:40-18:00,Xiaohui Chen,"                                            Xiaohui Chen received a Ph. D. in Electrical and Computer Engineering in 2013 from the University of British Columbia (UBC), Vancouver, Canada. He was a post-doctoral fellow at the Toyota Technological Institute at Chicago (TTIC), a philanthropically endowed academic computer science institute located on the University of Chicago campus. In 2013 he joined the University of Illinois at Urbana-Champaign (UIUC) as an Assistant Professor of Statistics. He is an Associate Professor of Statistics at UIUC since 2019 and a member of Discovery Partners Institute (DPI) since 2020. He held Visiting Faculty position in the Institute for Data, Systems, and Society (IDSS) at Massachusetts Institute of Technology (MIT) in 2019-2020. He received numerous notable awards, including an NSF CAREER Award in 2018, an Arnold O. Beckman Award at UIUC in 2018, an Outstanding Young Researcher Award from the International Chinese Statistical Association (ICSA) in 2019, an Associate appointment in the Center for Advanced Study at UIUC in 2020-2021, and a Simons Fellowship in Mathematics from the Simons Foundation in 2020-2021. His teaching was recognized three times by the University of Illinois List of Teachers Ranked as Excellent by Their Students.",A Diffusion Perspective of Manifold Clustering,经济楼D136,"                                                                We introduce the diffusion K-means clustering method on Riemannian submanifolds, which maximizes the within-cluster connectedness based on the diffusion distance. The diffusion K-means constructs a random walk on the similarity graph with vertices as data points randomly sampled on the manifolds and edges as similarities given by a kernel that captures the local geometry of manifolds. The diffusion K-means is a multi-scale clustering tool that is suitable for data with non-linear and non-Euclidean geometric features in mixed dimensions. Given the number of clusters, we propose a polynomial-time convex relaxation algorithm via the semidefinite programming (SDP) to solve the diffusion K-means. In addition, we also propose a nuclear norm regularized SDP that is adaptive to the number of clusters. In both cases, we show that exact recovery of the SDPs for diffusion K-means can be achieved under suitable between-cluster separability and within-cluster connectedness of the submanifolds, which together quantify the hardness of the manifold clustering problem. We further propose the localized diffusion K-means by using the local adaptive bandwidth estimated from the nearest neighbors. We show that exact recovery of the localized diffusion K-means is fully adaptive to the local probability density and geometric structures of the underlying submanifolds.&nbsp;span style=""font-family: 宋体; font-size: 14px;""说明：演讲嘉宾线上进行讲座，预约成功的同学请到经济楼D136观看，其他师生也可以选择线上参加，参会方式将以邮件形式发送给师生。/span"
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-05-27(Thursday)16:40-18:00,Yu Qin,"                                            Dr. Qin Yu is an associate professor (with tenure) in the Department of Real Estate, National University of Singapore. Her research interests include: 1) the impact of infrastructure investment (such as high-speed rail) on economic growth and redistribution; 2) the socioeconomic consequences of air pollution and climate change; 3) topics related to land market and housing market, including land and housing prices, housing policies and housing affordability. Dr. Qin completed her PhD in applied economics and management at Cornell University in 2014.",The Local Labor Market Effect of Relaxing Internal Migration Restrictio...,"Room N302, Economics Building","                                                                Internal migrants account for 10.8% of the world population today and are expected to cause substantial distributional effects between themselves and native residents in rapid urbanizing countries. In this paper, we study how a significant relaxation of internal migration restrictions affects labor market outcomes of both incumbent migrants and natives, exploiting the 2014 Hukou reform in China. This reform substantially removed the migration barriers of cities with an urban population below 5 million (non megacities) but kept the migration barriers in megacities almost unchanged. Using a difference in differences method, we find migrants&lsquo; wages in non megacities experience approximately a 7.3% decline relative to that in megacities after the policy shock. The negative effects are stronger among older, less educated, and blue collar incumbent migrants. By contrast, the policy change has non-negative impacts on the wages and labor participation rates of the natives in non-megacities. These results suggest the downward wage pressure imposed by an inflow of migrants falls primarily on incumbent migrants rather than on natives."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
2021-05-26(Wednesday)16:40-18:00,严晓东,                                            严晓东，香港理工大学与云南大学联合培养博士，山东大学副教授，山东大学未来学者。研究领域为数据科学技术、统计学习、计量经济等。论文发表在Journal of Econometrics、Journal of the American Statistical Association、Statistica Sinica、Journal of Multivariate Analysis、Computational Statistics &amp; Data Analysis等期刊上。目前主持国家自然科学基金、山东省自然科学基金、山东省社科规划项目基金等。,Integrative Analysis for Subgroup and Sparsity Recovery,经济楼N302,"                                                                In modern economic studies, the population heterogeneity of multiple stratifications and the high dimensionality of the predictors pose a major challenge. In this study, we introduce an integrative procedure that can be used to explore the information regarding group and sparsity structures for high-dimensional and heterogeneous stratified models. Further, we propose $K$-regression modeling as a hybrid of complex and simple models exhibiting arbitrary dependence on the stratification features, but linear dependence on other variables. $K$-regression models preeminently exhibit the following features:(i) they are essentially non-parametric with respect to the stratified feature, and parametric linearly effects in other variables with potentially integrative pattern because the effects and the corresponding sparsity structures can be the same for the stratifications in common groups but vary across different groups; (ii) the devised $K$-regression algorithm can automatically integrate the stratifications pertaining to common regression model and simultaneously estimate the corresponding effects simultaneously; (iii) the proposal quickly recovers the subpopulation and sparsity structure of the $K$-regression models within massive and high-dimensional stratifications; (iv) the resulting estimators exhibit two-layer oracle properties, i.e., the oracle estimator obtained using the known group and sparsity structures is the local minimizer of the objective function with high probability. The stratification-specific bootstrap (SSB) sampling scheme was developed to improve the integration accuracy. Furthermore, the simulation studies provide supportive evidence that the newly proposed method performs appropriately in case of finite samples; a real data example has been provided for illustration."
讲座时间,讲座嘉宾,嘉宾介绍,讲座题目,讲座地点,讲座简介
